Image	Sentiment
1.jpg	positive
2.jpg	positive
3.jpg	positive
4.jpg	negative
5.jpg	positive
6.jpg	negative
7.jpg	positive
8.jpg	positive
9.jpg	positive
10.jpg	positive
11.jpg	negative
12.jpg	positive
13.jpg	positive
14.jpg	positive
15.jpg	positive
16.jpg	positive
17.jpg	positive
18.jpg	negative
19.jpg	negative
20.jpg	positive
21.jpg	positive
22.jpg	negative
23.jpg	positive
24.jpg	positive
25.jpg	negative
26.jpg	positive
27.jpg	positive
28.jpg	positive
29.jpg	negative
30.jpg	positive
31.jpg	positive
32.jpg	positive
33.jpg	positive
34.jpg	negative
35.jpg	positive
36.jpg	positive
37.jpg	positive
38.jpg	positive
39.jpg	positive
40.jpg	positive
41.jpg	positive
42.jpg	positive
43.jpg	negative
44.jpg	positive
45.jpg	positive
46.jpg	positive
47.jpg	negative
48.jpg	positive
49.jpg	negative
50.jpg	negative
51.jpg	negative
52.jpg	positive
53.jpg	positive
54.jpg	positive
55.jpg	positive
56.jpg	positive
57.jpg	positive
58.jpg	positive
59.jpg	positive
60.jpg	positive
61.jpg	negative
62.jpg	positive
63.jpg	positive
64.jpg	positive
65.jpg	negative
66.jpg	positive
67.jpg	positive
68.jpg	negative
69.jpg	positive
70.jpg	positive
71.jpg	positive
72.jpg	positive
73.jpg	positive
74.jpg	positive
75.jpg	positive
76.jpg	positive
77.jpg	negative
78.jpg	positive
79.jpg	positive
80.jpg	positive
81.jpg	positive
82.jpg	positive
83.jpg	positive
84.jpg	positive
85.jpg	positive
86.jpg	negative
87.jpg	positive
88.jpg	positive
89.jpg	positive
90.jpg	positive
91.jpg	positive
92.jpg	positive
93.jpg	positive
94.jpg	positive
95.jpg	positive
96.jpg	positive
97.jpg	positive
98.jpg	positive
99.jpg	positive
100.jpg	positive
101.jpg	positive
102.jpg	positive
103.jpg	positive
104.jpg	negative
105.jpg	positive
106.jpg	positive
107.jpg	positive
108.jpg	positive
109.jpg	negative
110.jpg	negative
111.jpg	negative
112.jpg	positive
113.jpg	positive
114.jpg	positive
115.jpg	positive
116.jpg	positive
117.jpg	positive
118.jpg	positive
119.jpg	positive
120.jpg	positive
121.jpg	positive
122.jpg	positive
123.jpg	positive
124.jpg	positive
125.jpg	positive
126.jpg	negative
127.jpg	positive
128.jpg	positive
129.jpg	positive
130.jpg	positive
131.jpg	positive
132.jpg	negative
133.jpg	positive
134.jpg	positive
135.jpg	positive
136.jpg	positive
137.jpg	positive
138.jpg	positive
139.jpg	positive
140.jpg	positive
141.jpg	positive
142.jpg	positive
143.jpg	negative
144.jpg	positive
145.jpg	positive
146.jpg	positive
147.jpg	negative
148.jpg	positive
149.jpg	positive
150.jpg	positive
151.jpg	positive
152.jpg	positive
153.jpg	positive
154.jpg	positive
155.jpg	positive
156.jpg	positive
157.jpg	positive
158.jpg	positive
159.jpg	positive
160.jpg	positive
161.jpg	positive
162.jpg	positive
163.jpg	positive
164.jpg	positive
165.jpg	positive
166.jpg	negative
167.jpg	positive
168.jpg	positive
169.jpg	positive
170.jpg	negative
171.jpg	positive
172.jpg	positive
173.jpg	negative
174.jpg	negative
175.jpg	positive
176.jpg	positive
177.jpg	positive
178.jpg	positive
179.jpg	negative
180.jpg	positive
181.jpg	positive
182.jpg	positive
183.jpg	negative
184.jpg	positive
185.jpg	negative
186.jpg	positive
187.jpg	positive
188.jpg	positive
189.jpg	positive
190.jpg	positive
191.jpg	negative
192.jpg	positive
193.jpg	positive
194.jpg	positive
195.jpg	positive
196.jpg	positive
197.jpg	negative
198.jpg	positive
199.jpg	negative
200.jpg	positive
201.jpg	positive
202.jpg	positive
203.jpg	positive
204.jpg	positive
205.jpg	positive
206.jpg	positive
207.jpg	positive
208.jpg	positive
209.jpg	positive
210.jpg	positive
211.jpg	positive
212.jpg	positive
213.jpg	positive
214.jpg	positive
215.jpg	positive
216.jpg	positive
217.jpg	positive
218.jpg	positive
219.jpg	positive
220.jpg	positive
221.jpg	negative
222.jpg	positive
223.jpg	negative
224.jpg	positive
225.jpg	positive
226.jpg	positive
227.jpg	positive
228.jpg	negative
229.jpg	positive
230.jpg	positive
231.jpg	positive
232.jpg	positive
233.jpg	positive
234.jpg	positive
235.jpg	negative
236.jpg	positive
237.jpg	positive
238.jpg	negative
239.jpg	positive
240.jpg	positive
241.jpg	negative
242.jpg	positive
243.jpg	positive
244.jpg	positive
245.jpg	positive
246.jpg	positive
247.jpg	negative
248.jpg	positive
249.jpg	positive
250.jpg	negative
251.jpg	positive
252.jpg	positive
253.jpg	positive
254.jpg	positive
255.jpg	positive
256.jpg	positive
257.jpg	positive
258.jpg	positive
259.jpg	positive
260.jpg	positive
261.jpg	positive
262.jpg	negative
263.jpg	positive
264.jpg	positive
265.jpg	negative
266.jpg	positive
267.jpg	positive
268.jpg	positive
269.jpg	negative
270.jpg	positive
271.jpg	positive
272.jpg	positive
273.jpg	positive
274.jpg	positive
275.jpg	positive
276.jpg	negative
277.jpg	negative
278.jpg	negative
279.jpg	positive
280.jpg	positive
281.jpg	positive
282.jpg	positive
283.jpg	positive
284.jpg	positive
285.jpg	positive
286.jpg	positive
287.jpg	positive
288.jpg	positive
289.jpg	positive
290.jpg	positive
291.jpg	positive
292.jpg	positive
293.jpg	positive
294.jpg	positive
295.jpg	positive
296.jpg	positive
297.jpg	negative
298.jpg	positive
299.jpg	positive
300.jpg	positive
301.jpg	positive
302.jpg	positive
303.jpg	negative
304.jpg	positive
305.jpg	positive
306.jpg	positive
307.jpg	positive
308.jpg	positive
309.jpg	negative
310.jpg	positive
311.jpg	negative
312.jpg	positive
313.jpg	positive
314.jpg	positive
315.jpg	negative
316.jpg	negative
317.jpg	positive
318.jpg	negative
319.jpg	positive
320.jpg	positive
321.jpg	negative
322.jpg	positive
323.jpg	positive
324.jpg	negative
325.jpg	positive
326.jpg	positive
327.jpg	negative
328.jpg	negative
329.jpg	positive
330.jpg	positive
331.jpg	positive
332.jpg	positive
333.jpg	positive
334.jpg	positive
335.jpg	positive
336.jpg	positive
337.jpg	positive
338.jpg	positive
339.jpg	positive
340.jpg	positive
341.jpg	negative
342.jpg	positive
343.jpg	negative
344.jpg	positive
345.jpg	negative
346.jpg	positive
347.jpg	negative
348.jpg	positive
349.jpg	positive
350.jpg	negative
351.jpg	positive
352.jpg	positive
353.jpg	positive
354.jpg	positive
355.jpg	positive
356.jpg	negative
357.jpg	positive
358.jpg	positive
359.jpg	positive
360.jpg	positive
361.jpg	positive
362.jpg	positive
363.jpg	positive
364.jpg	positive
365.jpg	positive
366.jpg	positive
367.jpg	negative
368.jpg	positive
369.jpg	positive
370.jpg	positive
371.jpg	positive
372.jpg	positive
373.jpg	positive
374.jpg	positive
375.jpg	positive
376.jpg	negative
377.jpg	positive
378.jpg	positive
379.jpg	positive
380.jpg	negative
381.jpg	negative
382.jpg	negative
383.jpg	positive
384.jpg	negative
385.jpg	positive
386.jpg	positive
387.jpg	negative
388.jpg	negative
389.jpg	negative
390.jpg	positive
391.jpg	negative
392.jpg	positive
393.jpg	positive
394.jpg	positive
395.jpg	negative
396.jpg	positive
397.jpg	negative
398.jpg	negative
399.jpg	positive
400.jpg	positive
401.jpg	positive
402.jpg	positive
403.jpg	negative
404.jpg	negative
405.jpg	positive
406.jpg	positive
407.jpg	positive
408.jpg	positive
409.jpg	positive
410.jpg	positive
411.jpg	positive
412.jpg	positive
413.jpg	negative
414.jpg	positive
415.jpg	negative
416.jpg	positive
417.jpg	positive
418.jpg	negative
419.jpg	positive
420.jpg	positive
421.jpg	positive
422.jpg	positive
423.jpg	positive
424.jpg	positive
425.jpg	positive
426.jpg	positive
427.jpg	positive
428.jpg	positive
429.jpg	positive
430.jpg	positive
431.jpg	positive
432.jpg	positive
433.jpg	positive
434.jpg	positive
435.jpg	positive
436.jpg	positive
437.jpg	negative
438.jpg	positive
439.jpg	positive
440.jpg	positive
441.jpg	positive
442.jpg	positive
443.jpg	positive
444.jpg	positive
445.jpg	positive
446.jpg	positive
447.jpg	positive
448.jpg	positive
449.jpg	positive
450.jpg	positive
451.jpg	positive
452.jpg	negative
453.jpg	positive
454.jpg	positive
455.jpg	negative
456.jpg	positive
457.jpg	positive
458.jpg	positive
459.jpg	negative
460.jpg	positive
461.jpg	negative
462.jpg	negative
463.jpg	positive
464.jpg	positive
465.jpg	positive
466.jpg	positive
467.jpg	positive
468.jpg	negative
469.jpg	positive
470.jpg	positive
471.jpg	positive
472.jpg	positive
473.jpg	positive
474.jpg	positive
475.jpg	positive
476.jpg	positive
477.jpg	positive
478.jpg	positive
479.jpg	negative
480.jpg	positive
481.jpg	positive
482.jpg	positive
483.jpg	positive
484.jpg	positive
485.jpg	positive
486.jpg	positive
487.jpg	positive
488.jpg	positive
489.jpg	positive
490.jpg	negative
491.jpg	positive
492.jpg	positive
493.jpg	positive
494.jpg	positive
495.jpg	positive
496.jpg	positive
497.jpg	positive
498.jpg	negative
499.jpg	negative
500.jpg	positive
501.jpg	positive
502.jpg	positive
503.jpg	positive
504.jpg	negative
505.jpg	positive
506.jpg	positive
507.jpg	positive
508.jpg	positive
509.jpg	positive
510.jpg	positive
511.jpg	positive
512.jpg	positive
513.jpg	positive
514.jpg	positive
515.jpg	positive
516.jpg	positive
517.jpg	positive
518.jpg	positive
519.jpg	positive
520.jpg	negative
521.jpg	positive
522.jpg	positive
523.jpg	positive
524.jpg	negative
525.jpg	positive
526.jpg	positive
527.jpg	positive
528.jpg	positive
529.jpg	positive
530.jpg	positive
531.jpg	positive
532.jpg	positive
533.jpg	negative
534.jpg	positive
535.jpg	positive
536.jpg	positive
537.jpg	positive
538.jpg	negative
539.jpg	positive
540.jpg	negative
541.jpg	positive
542.jpg	negative
543.jpg	negative
544.jpg	positive
545.jpg	positive
546.jpg	positive
547.jpg	negative
548.jpg	positive
549.jpg	positive
550.jpg	positive
551.jpg	positive
552.jpg	positive
553.jpg	positive
554.jpg	positive
555.jpg	positive
556.jpg	negative
557.jpg	positive
558.jpg	positive
559.jpg	negative
560.jpg	negative
561.jpg	positive
562.jpg	positive
563.jpg	positive
564.jpg	positive
565.jpg	positive
566.jpg	positive
567.jpg	positive
568.jpg	positive
569.jpg	positive
570.jpg	positive
571.jpg	positive
572.jpg	positive
573.jpg	positive
574.jpg	positive
575.jpg	positive
576.jpg	positive
577.jpg	positive
578.jpg	positive
579.jpg	positive
580.jpg	negative
581.jpg	positive
582.jpg	positive
583.jpg	positive
584.jpg	positive
585.jpg	positive
586.jpg	positive
587.jpg	positive
588.jpg	positive
589.jpg	positive
590.jpg	negative
591.jpg	positive
592.jpg	positive
593.jpg	positive
594.jpg	positive
595.jpg	positive
596.jpg	positive
597.jpg	positive
598.jpg	positive
599.jpg	negative
600.jpg	negative
601.jpg	positive
602.jpg	positive
603.jpg	negative
604.jpg	positive
605.jpg	negative
606.jpg	positive
607.jpg	positive
608.jpg	positive
609.jpg	positive
610.jpg	positive
611.jpg	positive
612.jpg	negative
613.jpg	positive
614.jpg	positive
615.jpg	positive
616.jpg	positive
617.jpg	positive
618.jpg	positive
619.jpg	positive
620.jpg	negative
621.jpg	positive
622.jpg	positive
623.jpg	positive
624.jpg	positive
625.jpg	negative
626.jpg	positive
627.jpg	positive
628.jpg	negative
629.jpg	positive
630.jpg	negative
631.jpg	positive
632.jpg	positive
633.jpg	positive
634.jpg	positive
635.jpg	positive
636.jpg	positive
637.jpg	positive
638.jpg	positive
639.jpg	positive
640.jpg	positive
641.jpg	positive
642.jpg	negative
643.jpg	negative
644.jpg	positive
645.jpg	positive
646.jpg	positive
647.jpg	negative
648.jpg	positive
649.jpg	positive
650.jpg	positive
651.jpg	positive
652.jpg	positive
653.jpg	positive
654.jpg	positive
655.jpg	positive
656.jpg	negative
657.jpg	positive
658.jpg	positive
659.jpg	positive
660.jpg	positive
661.jpg	positive
662.jpg	positive
663.jpg	positive
664.jpg	positive
665.jpg	negative
666.jpg	positive
667.jpg	positive
668.jpg	positive
669.jpg	positive
670.jpg	positive
671.jpg	positive
672.jpg	positive
673.jpg	positive
674.jpg	positive
675.jpg	negative
676.jpg	negative
677.jpg	positive
678.jpg	positive
679.jpg	positive
680.jpg	positive
681.jpg	positive
682.jpg	positive
683.jpg	positive
684.jpg	positive
685.jpg	positive
686.jpg	positive
687.jpg	positive
688.jpg	positive
689.jpg	positive
690.jpg	negative
691.jpg	negative
692.jpg	positive
693.jpg	positive
694.jpg	positive
695.jpg	positive
696.jpg	positive
697.jpg	positive
698.jpg	positive
699.jpg	positive
700.jpg	positive
701.jpg	positive
702.jpg	positive
703.jpg	positive
704.jpg	positive
705.jpg	positive
706.jpg	positive
707.jpg	positive
708.jpg	positive
709.jpg	positive
710.jpg	positive
711.jpg	positive
712.jpg	positive
713.jpg	positive
714.jpg	positive
715.jpg	positive
716.jpg	negative
717.jpg	positive
718.jpg	positive
719.jpg	positive
720.jpg	positive
721.jpg	positive
722.jpg	negative
723.jpg	positive
724.jpg	positive
725.jpg	positive
726.jpg	positive
727.jpg	positive
728.jpg	negative
729.jpg	positive
730.jpg	positive
731.jpg	negative
732.jpg	positive
733.jpg	negative
734.jpg	positive
735.jpg	positive
736.jpg	positive
737.jpg	negative
738.jpg	negative
739.jpg	positive
740.jpg	positive
741.jpg	positive
